molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1651522,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C/C[C@H](C)OC2=O,10000.0,inactive
CHEMBL1651523,COc1cc(O)c2c(c1)CCCCCC(=O)/C=C\C[C@H](C)OC2=O,10000.0,inactive
CHEMBL1681932,CCNC(=O)Nc1ccc(Oc2ncnc(N)c2/C=N/OC)cc1Cl,183.0,active
CHEMBL1688860,CN(C)Cc1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,1.6,active
CHEMBL1688861,CC(C)(N)c1cc(C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5c4CCC(=O)N5)cc3C2)cc(C(F)(F)F)c1,0.8,active
CHEMBL1766529,CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1,10000.0,inactive
CHEMBL1774056,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2F)n[nH]1,19.0,active
CHEMBL1738758,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1,10000.0,inactive
CHEMBL1784725,CCOC(=O)C1=C2C(=NC1=O)c1cccc3cccc2c13,10000.0,inactive
CHEMBL1784637,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,0.2,active
CHEMBL1822792,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,640.0,active
CHEMBL1807197,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,36.0,active
CHEMBL1807196,CNC(=O)c1cc(Oc2cccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)ccn1,6.0,active
CHEMBL1807198,COCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,190.0,active
CHEMBL1807506,CC(C)NCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,410.0,active
CHEMBL1807507,CCN(CC)CCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,500.0,active
CHEMBL1807508,O=C(N[C@H]1CC[C@H](O)CC1)c1ccc2nc(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)[nH]c2c1,1000.0,active
CHEMBL213204,Oc1ccccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1000.0,active
CHEMBL1807509,Cc1cc(N)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1600.0,intermediate
CHEMBL1807510,COc1cc2c(cc1OC)/C(=C\c1ccc(OC(=O)c3cnccn3)cc1)C(=O)N2,1800.0,intermediate
CHEMBL1807511,Cc1cc2c(F)c(Oc3ncnc(N)c3/C=N/OCCCN3CCNCC3)ccc2[nH]1,1800.0,intermediate
CHEMBL1807512,Cc1cc(CCN2CCN(C)CC2)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,2700.0,intermediate
CHEMBL1807513,CCCCCCCCCC(=O)Oc1ccc(/C=C2/C(=O)Nc3cc(OC)c(OC)cc32)cc1,4500.0,intermediate
CHEMBL1807514,Cc1ccccc1NC(=O)c1ccc2nc(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)[nH]c2c1,10000.0,inactive
CHEMBL1806508,NC1CCN(c2nccc(-c3c[nH]c4ncccc34)n2)CC1,10000.0,inactive
CHEMBL1807515,N[C@H]1CC[C@@H](Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,3721.0,intermediate
CHEMBL212491,Cc1ccccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,10000.0,inactive
CHEMBL1807516,O[C@H]1CC[C@@H](Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,11000.0,inactive
CHEMBL1807517,c1cnc2[nH]cc(-c3ccnc(N[C@@H]4C[C@@H]5CC[C@@H]4C5)n3)c2c1,55000.0,inactive
CHEMBL1807518,CN(C)CCN(C)C(=O)c1ccc2nc(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)[nH]c2c1,100000.0,inactive
CHEMBL1807519,CO[C@H]1CC[C@@H](Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,100000.0,inactive
CHEMBL213207,c1cnc2[nH]cc(-c3ccnc(NCC4CCCCC4)n3)c2c1,100000.0,inactive
CHEMBL377048,Fc1ccccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,100000.0,inactive
CHEMBL1807520,Clc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)c(Cl)c1,100000.0,inactive
CHEMBL1807521,CCCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,38.0,active
CHEMBL1806510,COc1cc2[nH]c3c(c2cc1OC)C(c1cccc(O)c1)CNC3=O,90.0,active
CHEMBL1807713,CN(C)Cc1cncc(-c2ccc3[nH]c(-c4n[nH]c5ncc(N6CCN(C)CC6)cc45)nc3c2)c1,104.0,active
CHEMBL1807714,COc1cc2[nH]c3c(c2cc1OC)C(c1ccc(O)cc1)CNC3=O,110.0,active
CHEMBL1807715,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,111.0,active
CHEMBL1807716,COc1cc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc(OC)c1OC,128.0,active
CHEMBL1807717,COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5c[nH]c6ncccc56)cc34)nc12,150.0,active
CHEMBL1807718,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,201.0,active
CHEMBL1807719,CCC(=O)Cc1ccc(Oc2ncnc(N)c2/C=N/OC)cc1Cl,212.0,active
CHEMBL1807720,CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc6c(cc5[nH]4)OC(F)(F)O6)c3c2)c1,218.0,active
CHEMBL426509,Cc1cc(CCO)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,337.0,active
CHEMBL1807721,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,375.0,active
CHEMBL1807722,CN1CCN(c2ccc3[nH]c(-c4n[nH]c5ncc(-c6cncc(CN7CCCC7)c6)cc45)nc3c2)CC1,475.0,active
CHEMBL1807723,CCNCCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,484.0,active
CHEMBL1807724,CN(C)CCc1ccc(Nc2nccc(-c3c[nH]c4ncccc34)n2)cc1,537.0,active
CHEMBL1807725,c1cnc2[nH]cc(-c3ccnc(Nc4ccc(CCN5CCCC5)cc4)n3)c2c1,692.0,active
